,correction,tokens,closest_sentence,confidence_score,predicted_feature,gt_feature,matches
19,Move closer to the plate and get close to the desktop then move lower and steer clear of the magazine,22,Move closer to magazine,0.67,magazine distance decrease,"['plate distance decrease', 'desktop distance decrease', 'Z-cartesian decrease', 'magazine distance increase']",False
20,Move forward and move rightwards then decrease the distance to the notebook and move a bit further away from the diary,25,Move closer to diary,0.76,diary distance decrease,"['Y-cartesian increase', 'X-cartesian increase', 'notebook distance decrease', 'diary distance increase']",False
21,move more left and stay closer to the bottle,11,Move closer to bottle,0.89,bottle distance decrease,"['X-cartesian decrease', 'bottle distance decrease']",False
22,"stay closer to the laptop and cup, move up a little bit",15,Move closer to laptop,0.66,laptop distance decrease,"['laptop distance decrease', 'cup distance decrease', 'Z-cartesian increase']",False
23,move down and closer to the plate and microwave,11,Move closer to microwave,0.79,microwave distance decrease,"['Z-cartesian decrease', 'Plate distance decrease', 'Microwave distance decrease']",False
24,avoid the cake and the fridge,8,Avoid cake,0.79,cake distance increase,"['cake distance increase', 'fridge distance increase']",False
25,move away from bottle and book then move closer to cup,13,Move closer to bottle,0.79,bottle distance decrease,"['bottle distance increase', 'book distance increase', 'cup distance decrease']",False
26,move away from bottle and then move closer to cup,12,Move closer to bottle,0.84,bottle distance decrease,"['bottle distance increase', 'cup distance decrease']",False
27,move closer to egg and cake,8,Move closer to cake,0.86,cake distance decrease,"['Egg distance decrease', 'Cake distance decrease']",False
28,move closer to the bottle and move further from the laptop,13,Move further away from bottle,0.77,bottle distance increase,"['bottle distance decrease', 'laptop distance increase']",False
29,move up,4,Move up,1.0,Z-cartesian increase,['Z-cartesian increase'],True
30,move right,4,Move right,1.0,X-cartesian increase,['X-cartesian increase'],True
31,keep close to pineapple,7,Stay close to pineapple,0.98,pineapple distance decrease,['Pineapple distance decrease'],True
32,move near the bottle,6,Move closer to bottle,0.91,bottle distance decrease,['Bottle distance decrease'],True
33,move near the pineapple,7,Move closer to pineapple,0.92,pineapple distance decrease,['Pineapple distance decrease'],True
34,move further from the cake,7,Move further away from cake,0.9500000000000001,cake distance increase,['Cake distance increase'],True
35,move closer to the fridge,7,Move closer to fridge,0.98,fridge distance decrease,['Fridge distance decrease'],True
36,keep right and stay closer to the bottle,10,Stay close to bottle,0.88,bottle distance decrease,"['X-cartesian increase', 'Bottle distance decrease']",False
37,"stay closer to the vase and cup, move up a little bit",15,Move closer to vase,0.75,vase distance decrease,"['Vase distance decrease', 'Cup distance decrease', 'Z-cartesian increase']",False
38,move lower and closer to the banana and apple,11,Move closer to banana,0.85,banana distance decrease,"['Z-cartesian decrease', 'Banana distance decrease', 'Apple distance decrease']",False
39,stay extremely far away from the bottle and cup,11,Stay close to bottle,0.81,bottle distance decrease,"['Bottle distance increase', 'Cup distance increase']",False
40,stay away from laptop,6,Stay away from laptop,1.0,laptop distance increase,['Laptop distance increase'],True
41,stay further away from the pineapple,9,Stay close to pineapple,0.93,pineapple distance decrease,['Pineapple distance increase'],False
42,stay closer to spoon,6,Stay close to spoon,0.98,spoon distance decrease,['Spoon distance decrease'],True
43,move upwards,4,Move higher,0.89,Z-cartesian increase,['Z-cartesian increase'],True
44,move further from laptop,6,Move further away from laptop,0.9500000000000001,laptop distance increase,['Laptop distance increase'],True
45,move closer to pineapple,7,Move closer to pineapple,1.0,pineapple distance decrease,['Pineapple distance decrease'],True
46,move nearer to spoon,6,Move closer to spoon,0.98,spoon distance decrease,['Spoon distance decrease'],True
47,move lower,4,Move lower,1.0,Z-cartesian decrease,['Z-cartesian decrease'],True
48,avoid cake,4,Avoid cake,1.0,cake distance increase,['Cake distance increase'],True
49,move away from bottle and then closer to cup,11,Move closer to bottle,0.84,bottle distance decrease,"['Bottle distance increase', 'Cup distance decrease']",False
50,move closer to spoon,6,Move closer to spoon,1.0,spoon distance decrease,['Spoon distance decrease'],True
51,move closer to microwave,6,Move closer to microwave,1.0,microwave distance decrease,['Microwave distance decrease'],True
52,retreat from the bottle,6,Move further away from bottle,0.73,bottle distance increase,['Bottle distance increase'],True
53,move towards bottle,5,Move closer to bottle,0.9,bottle distance decrease,['Bottle distance decrease'],True
54,move away from laptop,6,Move further away from laptop,0.9,laptop distance increase,['Laptop distance increase'],True
55,move away from pineapple,7,Move further away from pineapple,0.9400000000000001,pineapple distance increase,['Pineapple distance increase'],True
56,move towards spoon,5,Move closer to spoon,0.9,spoon distance decrease,['Spoon distance decrease'],True
57,move towards cake,5,Move further away from cake,0.88,cake distance increase,['Cake distance decrease'],False
58,move towards egg,5,Move closer to egg,0.89,egg distance decrease,['Egg distance decrease'],True
59,go close to cup,6,Stay close to cup,0.9,cup distance decrease,['Cup distance decrease'],True
60,move down,4,Move down,1.0,Z-cartesian decrease,['Z-cartesian decrease'],True
61,move to pineapple,6,Move further away from pineapple,0.86,pineapple distance increase,['Pineapple distance decrease'],False
62,"move to pineapple, move down",9,Move further away from pineapple,0.85,pineapple distance increase,"['Pineapple distance decrease', 'Z-cartesian decrease']",False
63,avoid the fridge,5,Avoid fridge,0.97,fridge distance increase,['Fridge distance increase'],True
64,closer to cake,5,Stay close to cake,0.8200000000000001,cake distance decrease,['Cake distance decrease'],True
65,move closer to bottle,6,Move closer to bottle,1.0,bottle distance decrease,['Bottle distance decrease'],True
66,avoid the cake,5,Avoid cake,0.96,cake distance increase,['Cake distance increase'],True
67,move closer to egg,6,Move closer to egg,1.0,egg distance decrease,['Egg distance decrease'],True
68,move towards the bottle,6,Move closer to bottle,0.88,bottle distance decrease,['Bottle distance decrease'],True
69,move closer to the spoon,7,Move closer to spoon,0.98,spoon distance decrease,['Spoon distance decrease'],True
70,move away from the microwave,7,Move further away from microwave,0.91,microwave distance increase,['Microwave distance increase'],True
71,move towards the egg,6,Move closer to egg,0.86,egg distance decrease,['Egg distance decrease'],True
72,left,3,Left,1.0,X-cartesian decrease,['X-cartesian decrease'],True
73,up,3,Up,1.0,Z-cartesian increase,['Z-cartesian increase'],True
74,move to the cake,6,Move further away from cake,0.8300000000000001,cake distance increase,['Cake distance decrease'],False
75,avoid the egg,5,Avoid egg,0.96,egg distance increase,['Egg distance increase'],True
76,move closer to the cup,7,Move closer to cup,0.9400000000000001,cup distance decrease,['Cup distance decrease'],True
77,move closer to the pineapple,8,Move closer to pineapple,0.98,pineapple distance decrease,['Pineapple distance decrease'],True
78,move closer to the egg,7,Move closer to egg,0.97,egg distance decrease,['Egg distance decrease'],True
79,move higher,4,Move higher,1.0,Z-cartesian increase,['Z-cartesian increase'],True
80,move closer to the bottle,7,Move closer to bottle,0.96,bottle distance decrease,['Bottle distance decrease'],True
81,move away from the pineapple,8,Move further away from pineapple,0.93,pineapple distance increase,['Pineapple distance increase'],True
82,move away from the cake,7,Move further away from cake,0.92,cake distance increase,['Cake distance increase'],True
83,closer to the bottle and further from the laptop,11,Move closer to bottle,0.6900000000000001,bottle distance decrease,"['Bottle distance decrease', 'Laptop distance increase']",False
84,keep close to the table but stay clear from cup,12,Stay close to cup,0.78,cup distance decrease,"['Table distance decrease', 'Cup distance increase']",False
85,closer to the cake,6,Stay close to cake,0.85,cake distance decrease,['Cake distance decrease'],True
86,move away from the laptop but closer to the cup,12,Move closer to laptop,0.71,laptop distance decrease,"['Laptop distance increase', 'Cup distance decrease']",False
87,move to the right,6,Move left,0.92,X-cartesian decrease,['X-cartesian increase'],False
88,move towards the spoon,6,Move closer to spoon,0.89,spoon distance decrease,['Spoon distance decrease'],True
89,Get closer to the can,7,Keep a bigger distance from can,0.86,can distance increase,['Can distance decrease'],False
90,Traverse right,4,Keep a bigger distance from can,0.86,can distance increase,['X-cartesian increase'],False
91, Move forward and then move right,8,Move backward,0.79,Y-cartesian decrease,"['Y-cartesian increase', 'X-cartesian increase']",False
92,Move backward and then move up,8,Move backward,0.86,Y-cartesian decrease,"['Y-cartesian decrease', 'Z-cartesian increase']",False
93,Approach the cup but avoid the scissors and keep left,12,Avoid scissors,0.68,scissors distance increase,"['Cup distance decrease', 'Scissors distance increase', 'X-cartesian decrease']",False
94,Go close to the banana but keep a distance from apple,13,Stay close to banana,0.87,banana distance decrease,"['Banana distance decrease', 'Apple distance increase']",False
95,Move towards the cup and keep left,9,Move closer to cup,0.8,cup distance decrease,"['Cup distance decrease', 'X-cartesian decrease']",False
96,Move a little bit forward,7,Move forward,0.8,Y-cartesian increase,['Y-cartesian increase'],True
97,Stay nearer to cup but keep a distance from the scissors,13,Stay close to scissors,0.81,scissors distance decrease,"['Cup distance decrease', 'Scissors distance increase']",False
98,Stay far from the book and keep right while moving forward,13,Move further away from book,0.81,book distance increase,"['Book distance increase', 'X-cartesian increase', 'Y-cartesian increase']",False
99,Move towards the book and keep back from the banana,12,Move further away from banana,0.71,banana distance increase,"['book distance decrease', 'banana distance increase']",False
100,Take a step forward,6,Move forward,0.8200000000000001,Y-cartesian increase,['Y-cartesian increase'],True
